source_id,effective_from,sequence,page_number,incoming_symbol,outgoing_symbol,raw_cells_json
review_2021_h1,2022-01-03,1,2,ANL,AABS,"[""1"", """", ""ANL"", """", """", ""Azgard Nine Limited"", """", """", ""1"", ""AABS"", ""AL-Abbas Sugar Mills Limited"", """"]"
review_2021_h1,2022-01-03,2,2,CNERGY,ALNRS,"[""2"", """", ""CNERGY"", """", """", ""Cnergyi Co PK Ltd"", """", """", ""2"", ""ALNRS"", ""AL-Noor Sugar Mills Limited"", """"]"
review_2021_h1,2022-01-03,3,2,CLVL,ADMM,"[""3"", """", ""CLVL"", """", """", ""Cordoba Log. & Ventures. Limited"", """", """", ""3"", ""ADMM"", ""Artistic Denim Mills Limited"", """"]"
review_2021_h1,2022-01-03,4,2,DAWH,BAFS,"[""4"", """", ""DAWH"", """", """", ""Dawood Hercules Corp Limited"", """", """", ""4"", ""BAFS"", ""Baba Farid Sugar Mills Limited"", """"]"
review_2021_h1,2022-01-03,5,2,DFSM,CHAS,"[""5"", """", ""DFSM"", """", """", ""Dewan Farooque Spinning Mills Limited"", """", """", ""5"", ""CHAS"", ""Chashma Sugar Mills Limited"", """"]"
review_2021_h1,2022-01-03,6,2,FZCM,MRNS,"[""6"", """", ""FZCM"", """", """", ""Fazal Cloth Mills Limited"", """", """", ""6"", ""MRNS"", ""Mehran Sugar Mills Limited"", """"]"
review_2021_h1,2022-01-03,7,2,FANM,MIRKS,"[""7"", """", """", ""FANM"", """", """", ""First AL-Noor Modaraba"", """", ""7"", ""MIRKS"", ""Mirpurkhas Sugar Mills Limited"", """"]"
review_2021_h1,2022-01-03,8,2,PAKM,SEPL,"[""8"", """", """", ""PAKM"", """", """", ""First Pak Modaraba"", """", ""8"", ""SEPL"", ""Security Papers Limited"", """"]"
review_2021_h1,2022-01-03,9,2,PMI,SHSML,"[""9"", """", ""PMI"", """", """", ""First Prudential Modaraba"", """", """", ""9"", ""SHSML"", ""Shahmurad Sugar Mills Limited"", """"]"
review_2021_h1,2022-01-03,10,2,GADT,SINDM,"[""10"", """", ""GADT"", """", """", ""Gadoon Textile Mills Limited"", """", """", ""10"", ""SINDM"", ""Sindh Modaraba"", """"]"
